last_name,first_name,display_name,tournament,year,round,tour
Vekic,Donna,Donna Vekic,US Open,2019,R16,WTA
Wang,Qiang,Qiang Wang,US Open,2019,R16,WTA
Williams,Serena,Serena Williams,US Open,2019,R16,WTA
Andreescu,Bianca,Bianca Andreescu,US Open,2019,QF,WTA
Bencic,Belinda,Belinda Bencic,US Open,2019,QF,WTA
Konta,Johanna,Johanna Konta,US Open,2019,QF,WTA
Mertens,Elise,Elise Mertens,US Open,2019,QF,WTA
Svitolina,Elina,Elina Svitolina,US Open,2019,QF,WTA
Vekic,Donna,Donna Vekic,US Open,2019,QF,WTA
Wang,Qiang,Qiang Wang,US Open,2019,QF,WTA
Williams,Serena,Serena Williams,US Open,2019,QF,WTA
Andreescu,Bianca,Bianca Andreescu,US Open,2019,SF,WTA
Bencic,Belinda,Belinda Bencic,US Open,2019,SF,WTA
Svitolina,Elina,Elina Svitolina,US Open,2019,SF,WTA
Williams,Serena,Serena Williams,US Open,2019,SF,WTA
Andreescu,Bianca,Bianca Andreescu,US Open,2019,F,WTA
Williams,Serena,Serena Williams,US Open,2019,F,WTA
Andreescu,Bianca,Bianca Andreescu,US Open,2019,W,WTA
