last_name,first_name,display_name,tournament,year,round,tour
Putintseva,Yulia,Yulia Putintseva,French Open,2018,R16,WTA
Sharapova,Maria,Maria Sharapova,French Open,2018,R16,WTA
Stephens,Sloane,Sloane Stephens,French Open,2018,R16,WTA
Strycova,Barbora,Barbora Strycova,French Open,2018,R16,WTA
Tsurenko,Lesia,Lesia Tsurenko,French Open,2018,R16,WTA
Williams,Serena,Serena Williams,French Open,2018,R16,WTA
Wozniacki,Caroline,Caroline Wozniacki,French Open,2018,R16,WTA
Halep,Simona,Simona Halep,French Open,2018,QF,WTA
Kasatkina,Daria,Daria Kasatkina,French Open,2018,QF,WTA
Kerber,Angelique,Angelique Kerber,French Open,2018,QF,WTA
Keys,Madison,Madison Keys,French Open,2018,QF,WTA
Muguruza,Garbine,Garbine Muguruza,French Open,2018,QF,WTA
Putintseva,Yulia,Yulia Putintseva,French Open,2018,QF,WTA
Sharapova,Maria,Maria Sharapova,French Open,2018,QF,WTA
Stephens,Sloane,Sloane Stephens,French Open,2018,QF,WTA
Halep,Simona,Simona Halep,French Open,2018,SF,WTA
Keys,Madison,Madison Keys,French Open,2018,SF,WTA
Muguruza,Garbine,Garbine Muguruza,French Open,2018,SF,WTA
Stephens,Sloane,Sloane Stephens,French Open,2018,SF,WTA
Halep,Simona,Simona Halep,French Open,2018,F,WTA
Stephens,Sloane,Sloane Stephens,French Open,2018,F,WTA
Halep,Simona,Simona Halep,French Open,2018,W,WTA
Anderson,Kevin,Kevin Anderson,US Open,2018,R16,ATP
Basilashvili,Nikoloz,Nikoloz Basilashvili,US Open,2018,R16,ATP
Cilic,Marin,Marin Cilic,US Open,2018,R16,ATP
Coric,Borna,Borna Coric,US Open,2018,R16,ATP
Djokovic,Novak,Novak Djokovic,US Open,2018,R16,ATP
Federer,Roger,Roger Federer,US Open,2018,R16,ATP
Goffin,David,David Goffin,US Open,2018,R16,ATP
Isner,John,John Isner,US Open,2018,R16,ATP
Kohlschreiber,Philipp,Philipp Kohlschreiber,US Open,2018,R16,ATP
Martin del Potro,Juan,Juan Martin del Potro,US Open,2018,R16,ATP
Millman,John,John Millman,US Open,2018,R16,ATP
Nadal,Rafael,Rafael Nadal,US Open,2018,R16,ATP
Nishikori,Kei,Kei Nishikori,US Open,2018,R16,ATP
Raonic,Milos,Milos Raonic,US Open,2018,R16,ATP
Sousa,Joao,Joao Sousa,US Open,2018,R16,ATP
Thiem,Dominic,Dominic Thiem,US Open,2018,R16,ATP
Cilic,Marin,Marin Cilic,US Open,2018,QF,ATP
Djokovic,Novak,Novak Djokovic,US Open,2018,QF,ATP
Isner,John,John Isner,US Open,2018,QF,ATP
Martin del Potro,Juan,Juan Martin del Potro,US Open,2018,QF,ATP
Millman,John,John Millman,US Open,2018,QF,ATP
Nadal,Rafael,Rafael Nadal,US Open,2018,QF,ATP
Nishikori,Kei,Kei Nishikori,US Open,2018,QF,ATP
Thiem,Dominic,Dominic Thiem,US Open,2018,QF,ATP
Djokovic,Novak,Novak Djokovic,US Open,2018,SF,ATP
Martin del Potro,Juan,Juan Martin del Potro,US Open,2018,SF,ATP
Nadal,Rafael,Rafael Nadal,US Open,2018,SF,ATP
Nishikori,Kei,Kei Nishikori,US Open,2018,SF,ATP
Djokovic,Novak,Novak Djokovic,US Open,2018,F,ATP
Martin del Potro,Juan,Juan Martin del Potro,US Open,2018,F,ATP
Djokovic,Novak,Novak Djokovic,US Open,2018,W,ATP
Barty,Ashleigh,Ashleigh Barty,US Open,2018,R16,WTA
Cibulkova,Dominika,Dominika Cibulkova,US Open,2018,R16,WTA
Kanepi,Kaia,Kaia Kanepi,US Open,2018,R16,WTA
Keys,Madison,Madison Keys,US Open,2018,R16,WTA
Mertens,Elise,Elise Mertens,US Open,2018,R16,WTA
Osaka,Naomi,Naomi Osaka,US Open,2018,R16,WTA
Pliskova,Karolina,Karolina Pliskova,US Open,2018,R16,WTA
Sabalenka,Aryna,Aryna Sabalenka,US Open,2018,R16,WTA
Sevastova,Anastasija,Anastasija Sevastova,US Open,2018,R16,WTA
Sharapova,Maria,Maria Sharapova,US Open,2018,R16,WTA
Stephens,Sloane,Sloane Stephens,US Open,2018,R16,WTA
Suarez Navarro,Carla,Carla Suarez Navarro,US Open,2018,R16,WTA
Svitolina,Elina,Elina Svitolina,US Open,2018,R16,WTA
Tsurenko,Lesia,Lesia Tsurenko,US Open,2018,R16,WTA
Vondrousova,Marketa,Marketa Vondrousova,US Open,2018,R16,WTA
Williams,Serena,Serena Williams,US Open,2018,R16,WTA
Keys,Madison,Madison Keys,US Open,2018,QF,WTA
Osaka,Naomi,Naomi Osaka,US Open,2018,QF,WTA
Pliskova,Karolina,Karolina Pliskova,US Open,2018,QF,WTA
Sevastova,Anastasija,Anastasija Sevastova,US Open,2018,QF,WTA
Stephens,Sloane,Sloane Stephens,US Open,2018,QF,WTA
Suarez Navarro,Carla,Carla Suarez Navarro,US Open,2018,QF,WTA
Tsurenko,Lesia,Lesia Tsurenko,US Open,2018,QF,WTA
Williams,Serena,Serena Williams,US Open,2018,QF,WTA
Keys,Madison,Madison Keys,US Open,2018,SF,WTA
Osaka,Naomi,Naomi Osaka,US Open,2018,SF,WTA
Sevastova,Anastasija,Anastasija Sevastova,US Open,2018,SF,WTA
Williams,Serena,Serena Williams,US Open,2018,SF,WTA
Osaka,Naomi,Naomi Osaka,US Open,2018,F,WTA
Williams,Serena,Serena Williams,US Open,2018,F,WTA
Osaka,Naomi,Naomi Osaka,US Open,2018,W,WTA
Anderson,Kevin,Kevin Anderson,Wimbledon,2018,R16,ATP
Djokovic,Novak,Novak Djokovic,Wimbledon,2018,R16,ATP
Federer,Roger,Roger Federer,Wimbledon,2018,R16,ATP
Gulbis,Ernests,Ernests Gulbis,Wimbledon,2018,R16,ATP
Isner,John,John Isner,Wimbledon,2018,R16,ATP
Khachanov,Karen,Karen Khachanov,Wimbledon,2018,R16,ATP
Mannarino,Adrian,Adrian Mannarino,Wimbledon,2018,R16,ATP
Martin del Potro,Juan,Juan Martin del Potro,Wimbledon,2018,R16,ATP
Mcdonald,Mackenzie,Mackenzie Mcdonald,Wimbledon,2018,R16,ATP
Monfils,Gael,Gael Monfils,Wimbledon,2018,R16,ATP
Nadal,Rafael,Rafael Nadal,Wimbledon,2018,R16,ATP
Nishikori,Kei,Kei Nishikori,Wimbledon,2018,R16,ATP
Raonic,Milos,Milos Raonic,Wimbledon,2018,R16,ATP
Simon,Gilles,Gilles Simon,Wimbledon,2018,R16,ATP
Tsitsipas,Stefanos,Stefanos Tsitsipas,Wimbledon,2018,R16,ATP
Vesely,Jiri,Jiri Vesely,Wimbledon,2018,R16,ATP
Anderson,Kevin,Kevin Anderson,Wimbledon,2018,QF,ATP
Djokovic,Novak,Novak Djokovic,Wimbledon,2018,QF,ATP
Federer,Roger,Roger Federer,Wimbledon,2018,QF,ATP
Isner,John,John Isner,Wimbledon,2018,QF,ATP
Martin del Potro,Juan,Juan Martin del Potro,Wimbledon,2018,QF,ATP
Nadal,Rafael,Rafael Nadal,Wimbledon,2018,QF,ATP
Nishikori,Kei,Kei Nishikori,Wimbledon,2018,QF,ATP
Raonic,Milos,Milos Raonic,Wimbledon,2018,QF,ATP
Anderson,Kevin,Kevin Anderson,Wimbledon,2018,SF,ATP
Djokovic,Novak,Novak Djokovic,Wimbledon,2018,SF,ATP
Isner,John,John Isner,Wimbledon,2018,SF,ATP
Nadal,Rafael,Rafael Nadal,Wimbledon,2018,SF,ATP
Anderson,Kevin,Kevin Anderson,Wimbledon,2018,F,ATP
