last_name,first_name,display_name,goals
Noble,Mark,Mark Noble,47
Zamora,Bobby,Bobby Zamora,47
Cole,Joe,Joe Cole,46
Mateta,Jean-Philippe,Jean-Philippe Mateta,46
Merson,Paul,Paul Merson,46
Palmer,Cole,Cole Palmer,46
Rodriguez,Jay,Jay Rodriguez,46
Wissa,Yoane,Yoane Wissa,46
Earle,Robbie,Robbie Earle,45
Gündogan,Ilkay,Ilkay Gündogan,45
Pérez,Ayoze,Ayoze Pérez,45
Saunders,Dean,Dean Saunders,45
Smith,Alan,Alan Smith,45
Stuart,Graham,Graham Stuart,45
Wallace,Rod,Rod Wallace,45
Ángel,Juan Pablo,Juan Pablo Ángel,44
Mota Veiga de Carvalho e Silva,Bernardo,Bernardo Silva,44
Osman,Leon,Leon Osman,44
Whelan,Noel,Noel Whelan,44
Ameobi,Foluwashola,Shola Ameobi,43
Arnautovic,Marko,Marko Arnautovic,43
Ba,Demba,Demba Ba,43
Hirst,David,David Hirst,43
Kanoute,Frederic,Frederic Kanoute,43
Walters,Jonathan,Jonathan Walters,43
Ayew,Jordan,Jordan Ayew,42
Barnes,Ashley,Ashley Barnes,42
Iheanacho,Kelechi,Kelechi Iheanacho,42
Ince,Paul,Paul Ince,42
Joachim,Julian,Julian Joachim,42
Kanchelskis,Andrei,Andrei Kanchelskis,42
Pahars,Marian,Marian Pahars,42
Arteta,Mikel,Mikel Arteta,41
Havertz,Kai,Kai Havertz,41
Martinelli Silva,Gabriel Teodoro,Gabriel Martinelli,41
McManaman,Steve,Steve McManaman,41
Solanke,Dominic,Dominic Solanke,41
Terry,John,John Terry,41
Bent,Marcus,Marcus Bent,40
Eze,Eberechi,Eberechi Eze,40
Iversen,Steffen,Steffen Iversen,40
Jones,Kenwyne,Kenwyne Jones,40
Ramsey,Aaron,Aaron Ramsey,40
Soucek,Tomás,Tomás Soucek,40
Taylor,Matthew,Matthew Taylor,40
Keane,Roy,Roy Keane,39
Malbranque,Steed,Steed Malbranque,39
Barkley,Ross,Ross Barkley,38
Berger,Patrik,Patrik Berger,38
Carew,John,John Carew,38
Flo,Tore Andre,Tore Andre Flo,38
Huckerby,Darren,Darren Huckerby,38
Mitrovic,Aleksandar,Aleksandar Mitrovic,38
Sturridge,Dean,Dean Sturridge,38
Unsworth,David,David Unsworth,38
Anderton,Darren,Darren Anderton,37
Cissé,Papiss,Papiss Cissé,37
Downing,Stewart,Stewart Downing,37
Doyle,Kevin,Kevin Doyle,37
Dunn,David,David Dunn,37
Fellaini,Marouane,Marouane Fellaini,37
Hutchison,Don,Don Hutchison,37
McCarthy,Benedict,Benni McCarthy,37
Murray,Glenn,Glenn Murray,37
Sherwood,Tim,Tim Sherwood,37
Dickov,Paul,Paul Dickov,36
Doucouré,Abdoulaye,Abdoulaye Doucouré,36
Fox,Ruel,Ruel Fox,36
Junqueira de Jesus,João Pedro,João Pedro,36
Kalou,Salomon,Salomon Kalou,36
Lennon,Aaron,Aaron Lennon,36
McBride,Brian,Brian McBride,36
Nasri,Samir,Samir Nasri,36
Odemwingie,Peter,Peter Odemwingie,36
Roberts,Jason,Jason Roberts,36
Rondón,Salomón,Salomón Rondón,36
Spencer,John,John Spencer,36
Toney,Ivan,Ivan Toney,36
Bony,Wilfried,Wilfried Bony,35
Carbone,Benito,Benito Carbone,35
Iwobi,Alex,Alex Iwobi,35
Malouda,Florent,Florent Malouda,35
Radzinski,Tomasz,Tomasz Radzinski,35
Santos Carneiro da Cunha,Matheus,Matheus Cunha,35
Semenyo,Antoine,Antoine Semenyo,35
Ødegaard,Martin,Martin Ødegaard,35
Austin,Charlie,Charlie Austin,34
Forssell,Mikael,Mikael Forssell,34
Gayle,Marcus,Marcus Gayle,34
Henderson,Jordan,Jordan Henderson,34
Izzet,Muzzy,Muzzy Izzet,34
Lee,Robert,Robert Lee,34
Ndlovu,Peter,Peter Ndlovu,34
Pedersen,Morten,Morten Pedersen,34
Wise,Dennis,Dennis Wise,34
Adam,Charlie,Charlie Adam,33
Dowie,Iain,Iain Dowie,33
Jerome,Cameron,Cameron Jerome,33
Lallana,Adam,Adam Lallana,33
Marshall,Ian,Ian Marshall,33
Maupay,Neal,Neal Maupay,33
Özil,Mesut,Mesut Özil,33
Redknapp,Jamie,Jamie Redknapp,33
Ward,Ashley,Ashley Ward,33
Baines,Leighton,Leighton Baines,32
