last_name,first_name,display_name,goals
Robson-Kanu,Hal,Hal Robson-Kanu,14
Scowcroft,James,James Scowcroft,14
Shawcross,Ryan,Ryan Shawcross,14
Stead,Jon,Jon Stead,14
Thompson,Alan,Alan Thompson,14
Tomkins,James,James Tomkins,14
Traoré,Adama,Adama Traoré,14
Ziege,Christian,Christian Ziege,14
Armstrong,Alun,Alun Armstrong,13
Ben Arfa,Hatem,Hatem Ben Arfa,13
Cadamarteri,Danny,Danny Cadamarteri,13
Campo,Ivan,Ivan Campo,13
Chilwell,Ben,Ben Chilwell,13
Clark,Lee,Lee Clark,13
Cooper,Colin,Colin Cooper,13
Delap,Liam,Liam Delap,13
Draper,Mark,Mark Draper,13
Earnshaw,Robert,Robert Earnshaw,13
Emerton,Brett,Brett Emerton,13
Fenton,Graham,Graham Fenton,13
Ferguson,Evan,Evan Ferguson,13
Furlong,Paul,Paul Furlong,13
Goater,Shaun,Shaun Goater,13
Gomis,Bafétimbi,Bafétimbi Gomis,13
Hayles,Barry,Barry Hayles,13
Johnson,Tommy,Tommy Johnson,13
Jones,Vinnie,Vinnie Jones,13
McBurnie,Oliver,Oliver McBurnie,13
McCarthy,James,James McCarthy,13
Mkhitaryan,Henrikh,Henrikh Mkhitaryan,13
Modric,Luka,Luka Modric,13
Morley,Trevor,Trevor Morley,13
O'Shea,John,John O'Shea,13
Olney,Ian,Ian Olney,13
Platt,David,David Platt,13
Schneiderlin,Morgan,Morgan Schneiderlin,13
Sedgley,Steve,Steve Sedgley,13
Sinclair,Scott,Scott Sinclair,13
Staunton,Steve,Steve Staunton,13
Szoboszlai,Dominik,Dominik Szoboszlai,13
Townsend,Andy,Andy Townsend,13
Vermaelen,Thomas,Thomas Vermaelen,13
Warhurst,Paul,Paul Warhurst,13
Wark,John,John Wark,13
Wegerle,Roy,Roy Wegerle,13
Wilkinson,Paul,Paul Wilkinson,13
Adams,Neil,Neil Adams,12
Adams,Tony,Tony Adams,12
Alexandersson,Niclas,Niclas Alexandersson,12
Ardley,Neal,Neal Ardley,12
Atkins,Mark,Mark Atkins,12
Beck,Mikkel,Mikkel Beck,12
Billing,Philip,Philip Billing,12
Brooks,David,David Brooks,12
Casimiro,Carlos Henrique,Casemiro,12
Castelo Podence,Daniel,Daniel Podence,12
Cavani,Edinson,Edinson Cavani,12
Dembélé,Mousa,Mousa Dembélé,12
Dennis,Emmanuel,Emmanuel Dennis,12
Dier,Eric,Eric Dier,12
Durán,Jhon,Jhon Durán,12
Eto'o,Samuel,Samuel Eto'o,12
Hamann,Dietmar,Dietmar Hamann,12
Hendrick,Jeff,Jeff Hendrick,12
Herrera,Ander,Ander Herrera,12
Hoolahan,Wes,Wes Hoolahan,12
Horsfield,Geoff,Geoff Horsfield,12
Howey,Steve,Steve Howey,12
Huddlestone,Tom,Tom Huddlestone,12
Højbjerg,Pierre-Emile,Pierre-Emile Højbjerg,12
Impey,Andy,Andy Impey,12
James,Daniel,Daniel James,12
Kaboul,Younes,Younes Kaboul,12
Kanté,N'Golo,N'Golo Kanté,12
King,Marlon,Marlon King,12
Le Fondre,Adam,Adam Le Fondre,12
Le Saux,Graeme,Graeme Le Saux,12
Lee,Jason,Jason Lee,12
McCann,Gavin,Gavin McCann,12
Merino,Mikel,Mikel Merino,12
Mulumbu,Youssouf,Youssouf Mulumbu,12
N'Gog,David,David N'Gog,12
Niasse,Oumar,Oumar Niasse,12
Nielsen,Allan,Allan Nielsen,12
Nijtap Fotso,Geremi Sorele,Geremi,12
Ormerod,Brett,Brett Ormerod,12
Phillips,Matt,Matt Phillips,12
Queudrue,Franck,Franck Queudrue,12
Rae,Alex,Alex Rae,12
Ritchie,Matt,Matt Ritchie,12
Saint-Maximin,Allan,Allan Saint-Maximin,12
Sancho,Jadon,Jadon Sancho,12
Smalling,Chris,Chris Smalling,12
Taylor,Steven,Steven Taylor,12
Tessem,Jo,Jo Tessem,12
Touré,Kolo,Kolo Touré,12
Traoré,Bertrand,Bertrand Traoré,12
Watson,Ben,Ben Watson,12
Werner,Timo,Timo Werner,12
Westwood,Ashley,Ashley Westwood,12
Akinbiyi,Ade,Ade Akinbiyi,11
Ambrose,Darren,Darren Ambrose,11
Blake,Robbie,Robbie Blake,11
Bolasie,Yannick,Yannick Bolasie,11
Boyce,Emmerson,Emmerson Boyce,11
Bruce,Steve,Steve Bruce,11
Claridge,Steve,Steve Claridge,11
Clarke,Andy,Andy Clarke,11
Collins,James,James Collins,11
Costa Pereira,Matheus Fellipe,Matheus Pereira,11
Davies,Ben,Ben Davies,11
Dawson,Michael,Michael Dawson,11
Diallo,Amad,Amad Diallo,11
Dunne,Richard,Richard Dunne,11
Ekitiké,Hugo,Hugo Ekitiké,11
Ferdinand,Rio,Rio Ferdinand,11
Fortuné,Marc-Antoine,Marc-Antoine Fortuné,11
Francis,Damien,Damien Francis,11
Goodman,Jon,Jon Goodman,11
Gouffran,Yoan,Yoan Gouffran,11
Gravesen,Thomas,Thomas Gravesen,11
Gvardiol,Josko,Josko Gvardiol,11
Hendrie,John,John Hendrie,11
Hinchcliffe,Andy,Andy Hinchcliffe,11
Hoelgebaum Pereira,Andreas Hugo,Andreas Pereira,11
Hyde,Graham,Graham Hyde,11
Kolarov,Aleksandar,Aleksandar Kolarov,11
Kovacic,Mateo,Mateo Kovacic,11
Littlejohn,Adrian,Adrian Littlejohn,11
Longstaff,Sean,Sean Longstaff,11
Lookman,Ademola,Ademola Lookman,11
Marlet,Steve,Steve Marlet,11
McClean,James,James McClean,11
Morris,Carlton,Carlton Morris,11
Nzonzi,Steven,Steven Nzonzi,11
Nørgaard,Christian,Christian Nørgaard,11
Payet,Dimitri,Dimitri Payet,11
Pearce,Ian,Ian Pearce,11
Petit,Emmanuel,Emmanuel Petit,11
Piquionne,Frédéric,Frédéric Piquionne,11
Pogrebnyak,Pavel,Pavel Pogrebnyak,11
Riedle,Karl-Heinz,Karl-Heinz Riedle,11
Robertson,Andy,Andy Robertson,11
Romero,Cristian,Cristian Romero,11
Stones,John,John Stones,11
Stubbs,Alan,Alan Stubbs,11
Tarkowski,James,James Tarkowski,11
Thomas,Jerome,Jerome Thomas,11
Valencia,Enner,Enner Valencia,11
Vydra,Matej,Matej Vydra,11
Waddle,Chris,Chris Waddle,11
Walters,Mark,Mark Walters,11
Williams,John,John Williams,11
Adebayo,Elijah,Elijah Adebayo,10
Afobe,Benik,Benik Afobe,10
Allen,Martin,Martin Allen,10
Aloisi,John,John Aloisi,10
Alves,Afonso,Afonso Alves,10
Amokachi,Daniel,Daniel Amokachi,10
Azpilicueta,César,César Azpilicueta,10
Barlow,Stuart,Stuart Barlow,10
Barton,Warren,Warren Barton,10
Beckford,Darren,Darren Beckford,10
Best,Leon,Leon Best,10
Brady,Robert,Robert Brady,10
Bramble,Titus,Titus Bramble,10
Can,Emre,Emre Can,10
Capoue,Étienne,Étienne Capoue,10
Cash,Matty,Matty Cash,10
Chalobah,Trevoh,Trevoh Chalobah,10
Cook,Steve,Steve Cook,10
Cornet,Maxwel,Maxwel Cornet,10
Cresswell,Aaron,Aaron Cresswell,10
Dabizas,Nikolaos,Nikolaos Dabizas,10
Daka,Patson,Patson Daka,10
Davis,Sean,Sean Davis,10
De Bilde,Gilles,Gilles De Bilde,10
Dendoncker,Leander,Leander Dendoncker,10
Derbyshire,Matt,Matt Derbyshire,10
Diagne-Faye,Abdoulaye,Abdoulaye Diagne-Faye,10
Ebanks-Blake,Sylvan,Sylvan Ebanks-Blake,10
Elliott,Robbie,Robbie Elliott,10
Flamini,Mathieu,Mathieu Flamini,10
Foe,Marc Vivien,Marc Vivien Foe,10
Forlán,Diego,Diego Forlán,10
Freedman,Dougie,Dougie Freedman,10
Gabbiadini,Manolo,Manolo Gabbiadini,10
Gardner,Ricardo,Ricardo Gardner,10
Gudmundsson,Jóhann,Jóhann Gudmundsson,10
Gyan,Asamoah,Asamoah Gyan,10
Gyökeres,Viktor,Viktor Gyökeres,10
Halle,Gunnar,Gunnar Halle,10
Haller,Sébastien,Sébastien Haller,10
Hangeland,Brede,Brede Hangeland,10
Hitzlsperger,Thomas,Thomas Hitzlsperger,10
Hughes,Bryan,Bryan Hughes,10
Hunt,Andy,Andy Hunt,10
James,Reece,Reece James,10
Janelt,Vitaly,Vitaly Janelt,10
Jensen,Mathias,Mathias Jensen,10
John,Stern,Stern John,10
Jones,Curtis,Curtis Jones,10
Kerimoglou,Tugay,Tugay,10
King,Ledley,Ledley King,10
Lascelles,Jamaal,Jamaal Lascelles,10
Lita,Leroy,Leroy Lita,10
Lobo Alves Palhares Costa Palhinha Gonçalves,João Maria,João Palhinha,10
Loftus-Cheek,Ruben,Ruben Loftus-Cheek,10
Mato Sanmartín,José Luis,Joselu,10
McGoldrick,David,David McGoldrick,10
Moncur,John,John Moncur,10
Monkou,Kenneth,Kenneth Monkou,10
Morison,Steve,Steve Morison,10
Mustoe,Robbie,Robbie Mustoe,10
Pereira Gomes,Felipe Anderson,Felipe Anderson,10
Phillips,David,David Phillips,10
Rebrov,Serhiy,Serhiy Rebrov,10
Reo-Coker,Nigel,Nigel Reo-Coker,10
Rodwell,Jack,Jack Rodwell,10
Rosenthal,Ronny,Ronny Rosenthal,10
Sessegnon,Ryan,Ryan Sessegnon,10
Smicer,Vladimir,Vladimir Smicer,10
Suker,Davor,Davor Suker,10
Summerville,Crysencio,Crysencio Summerville,10
Tosun,Cenk,Cenk Tosun,10
Wanyama,Victor,Victor Wanyama,10
Whitehouse,Dane,Dane Whitehouse,10
Zaki,Amr,Amr Zaki,10
Adingra,Simon,Simon Adingra,9
Agger,Daniel,Daniel Agger,9
Aït-Nouri,Rayan,Rayan Aït-Nouri,9
Alderweireld,Toby,Toby Alderweireld,9
Anthony,Jaidon,Jaidon Anthony,9
Asprilla,Faustino,Faustino Asprilla,9
Atherton,Peter,Peter Atherton,9
Bednarek,Jan,Jan Bednarek,9
Bentancur,Rodrigo,Rodrigo Bentancur,9
Bernard,Paul,Paul Bernard,9
Bowen,Mark,Mark Bowen,9
Boyd,George,George Boyd,9
Broja,Armando,Armando Broja,9
Buonanotte,Facundo,Facundo Buonanotte,9
Cairney,Tom,Tom Cairney,9
Camara,Titi,Titi Camara,9
Chopra,Michael,Michael Chopra,9
Colback,Jack,Jack Colback,9
Cork,Jack,Jack Cork,9
Craddock,Jody,Jody Craddock,9
Dallas,Stuart,Stuart Dallas,9
Daniels,Charlie,Charlie Daniels,9
de Guzmán,Jonathan,Jonathan de Guzmán,9
Dewsbury-Hall,Kiernan,Kiernan Dewsbury-Hall,9
Dixon,Lee,Lee Dixon,9
Dodd,Jason,Jason Dodd,9
Ebbrell,John,John Ebbrell,9
Falconer,William,Willie Falconer,9
Flo,Jostein,Jostein Flo,9
Goss,Jeremy,Jeremy Goss,9
Greening,Jonathan,Jonathan Greening,9
Gueye,Idrissa,Idrissa Gueye,9
Guppy,Steve,Steve Guppy,9
Hall,Richard,Richard Hall,9
Harper,James,James Harper,9
Higginbotham,Danny,Danny Higginbotham,9
Hinshelwood,Jack,Jack Hinshelwood,9
Holden,Richard,Richard Holden,9
Howells,David,David Howells,9
Konchesky,Paul,Paul Konchesky,9
Kouassi,Gervais,Gervinho,9
Lerma,Jefferson,Jefferson Lerma,9
Lovenkrands,Peter,Peter Løvenkrands,9
Mackie,Jamie,Jamie Mackie,9
Matip,Joël,Joël Matip,9
McCulloch,Lee,Lee McCulloch,9
Mooy,Aaron,Aaron Mooy,9
Mounié,Steve,Steve Mounié,9
Mousset,Lys,Lys Mousset,9
Nelsen,Ryan,Ryan Nelsen,9
Neville,Philip,Phil Neville,9
Nevland,Erik,Erik Nevland,9
O'Hara,Jamie,Jamie O'Hara,9
Pallister,Gary,Gary Pallister,9
Partey,Thomas,Thomas Partey,9
Petrov,Stiliyan,Stiliyan Petrov,9
Ramírez,Gastón,Gastón Ramírez,9
Roberts,Iwan,Iwan Roberts,9
Rose,Danny,Danny Rose,9
Rüdiger,Antonio,Antonio Rüdiger,9
Saïss,Romain,Romain Saïss,9
Sellars,Scott,Scott Sellars,9
Shevchenko,Andriy,Andriy Shevchenko,9
Silvestre,Mikaël,Mikaël Silvestre,9
Svensson,Mathias,Mathias Svensson,9
Svensson,Anders,Anders Svensson,9
Taggart,Gerry,Gerry Taggart,9
Torres,Ferran,Ferran Torres,9
Turner,Michael,Michael Turner,9
Upson,Matt,Matt Upson,9
Weir,David,David Weir,9
White,Devon,Devon White,9
Wilson,Clive,Clive Wilson,9
Young,Luke,Luke Young,9
Zabaleta,Pablo,Pablo Zabaleta,9
Zárate,Mauro,Mauro Zárate,9
Albert,Philippe,Philippe Albert,8
Aliadière,Jérémie,Jérémie Aliadière,8
Alves Morais,Carlos Vinícius,Carlos Vinícius,8
Arca,Julio,Julio Arca,8
Bakke,Eirik,Eirik Bakke,8
Ball,Michael,Michael Ball,8
Banger,Nicky,Nicky Banger,8
Bannister,Gary,Gary Bannister,8
Beckford,Jermaine,Jermaine Beckford,8
Bellerín,Héctor,Héctor Bellerín,8
Berg,Henning,Henning Berg,8
Bergsson,Gudni,Gudni Bergsson,8
Bilyaletdinov,Diniyar,Diniyar Bilyaletdinov,8
Bocanegra,Carlos,Carlos Bocanegra,8
Carbonari,Horacio,Horacio Carbonari,8
Carr,Stephen,Stephen Carr,8
Caulker,Steven,Steven Caulker,8
Cruijff,Jordi,Jordi Cruijff,8
Degryse,Marc,Marc Degryse,8
Dindane,Aruna,Aruna Dindane,8
Diop,Papa Bouba,Papa Bouba Diop,8
Dorrans,Graham,Graham Dorrans,8
El Karkouri,Talal,Talal El Karkouri,8
Emiliano da Silva,Thiago,Thiago Silva,8
Festa,Gianluca,Gianluca Festa,8
Flynn,Sean,Sean Flynn,8
Foster,Lyle,Lyle Foster,8
Frandsen,Per,Per Frandsen,8
Gemmill,Scot,Scot Gemmill,8
Gordon,Dean,Dean Gordon,8
Guéhi,Marc,Marc Guéhi,8
Hassan,Mahmoud Ahmed Ibrahim,Trézéguet,8
Hendry,Colin,Colin Hendry,8
Hernández,Abel,Abel Hernández,8
Hleb,Aliaksandr,Aliaksandr Hleb,8
Houghton,Ray,Ray Houghton,8
Howson,Jonny,Jonny Howson,8
Hulse,Robert,Robert Hulse,8
Jaidi,Radhi,Radhi Jaidi,8
Janmaat,Daryl,Daryl Janmaat,8
Jobson,Richard,Richard Jobson,8
Johnsen,Ronny,Ronny Johnsen,8
Jovetic,Stevan,Stevan Jovetic,8
Kenna,Jeff,Jeff Kenna,8
Ketsbaia,Temuri,Temuri Ketsbaia,8
King,Andy,Andy King,8
Konsa,Ezri,Ezri Konsa,8
Kroupi,Junior,Junior Kroupi,8
Laporte,Aymeric,Aymeric Laporte,8
Laursen,Martin,Martin Laursen,8
Lee,Chung-Yong,Lee Chung-Yong,8
Legwinski,Sylvain,Sylvain Legwinski,8
Lemina,Mario,Mario Lemina,8
Lowe,David,David Lowe,8
Marmoush,Omar Khaled Mohamed Abdelsalam,Omar Marmoush,8
Martin,Russell,Russell Martin,8
May,David,David May,8
McGoldrick,Eddie,Eddie McGoldrick,8
Mellberg,Olof,Olof Mellberg,8
Mendonca,Clive,Clive Mendonca,8
Moore,Joe-Max,Joe-Max Moore,8
Morgan,Wes,Wes Morgan,8
Morientes,Fernando,Fernando Morientes,8
Newsome,Jon,Jon Newsome,8
O'Brien,Andy,Andy O'Brien,8
Ogbonna,Angelo,Angelo Ogbonna,8
Olsson,Jonas,Jonas Olsson,8
Onana,Amadou,Amadou Onana,8
Otamendi,Nicolás,Nicolás Otamendi,8
Peacock,Darren,Darren Peacock,8
Perry,Chris,Chris Perry,8
Pinnock,Ethan,Ethan Pinnock,8
Porro,Pedro,Pedro Porro,8
Reid,Steven,Steven Reid,8
Richards,Micah,Micah Richards,8
Riggott,Chris,Chris Riggott,8
Rodrigues de Paula Santos,Frederico,Fred,8
Roussel,Cedric,Cedric Roussel,8
Ruiz,Bryan,Bryan Ruiz,8
Salako,John,John Salako,8
Samaras,Georgios,Georgios Samaras,8
Sarabia,Pablo,Pablo Sarabia,8
Sarr,Pape Matar,Pape Matar Sarr,8
Sesko,Benjamin,Benjamin Sesko,8
Sinclair,Frank,Frank Sinclair,8
Sinisterra,Luis,Luis Sinisterra,8
Slimani,Islam,Islam Slimani,8
Smith,Alan,Alan Smith,8
Tavares,Fábio Henrique,Fabinho,8
Taylor,Ryan,Ryan Taylor,8
Todd,Andrew,Andrew Todd,8
Vaz Tê,Ricardo Jorge,Ricardo Vaz Tê,8
Verón,Juan Sebastián,Juan Sebastián Verón,8
Walker,Kyle,Kyle Walker,8
Walsh,Steve,Steve Walsh,8
Warnock,Stephen,Stephen Warnock,8
Wilshere,Jack,Jack Wilshere,8
Yarmolenko,Andrii,Andrii Yarmolenko,8
Yobo,Joseph,Joseph Yobo,8
Alexander,Graham,Graham Alexander,7
Amalfitano,Morgan,Morgan Amalfitano,7
Andrews,Keith,Keith Andrews,7
Asanovic,Aljosa,Aljosa Asanovic,7
Barbosa Pereira,Ricardo Domingos,Ricardo Pereira,7
Bardsley,Phil,Phil Bardsley,7
Bergwijn,Steven,Steven Bergwijn,7
Bertrand,Ryan,Ryan Bertrand,7
Black,Kingsley,Kingsley Black,7
Bodin,Paul,Paul Bodin,7
Boly,Willy,Willy Boly,7
Bouazza,Hameur,Hameur Bouazza,7
Caicedo,Moisés,Moisés Caicedo,7
Chambers,Calum,Calum Chambers,7
Clement,Neil,Neil Clement,7
Coady,Conor,Conor Coady,7
Collison,Jack,Jack Collison,7
Cucurella,Marc,Marc Cucurella,7
da Rocha Fonte,José Miguel,José Fonte,7
Daude Gaspar,Eduardo César,Edu,7
Davies,Curtis,Curtis Davies,7
Delph,Fabian,Fabian Delph,7
Diamanti,Alessandro,Alessandro Diamanti,7
Dias da Costa,Alex Rodrigo,Alex,7
Diop,Issa,Issa Diop,7
Distin,Sylvain,Sylvain Distin,7
Doku,Jérémy,Jérémy Doku,7
Duffy,Shane,Shane Duffy,7
Eadie,Darren,Darren Eadie,7
Eagles,Chris,Chris Eagles,7
Eranio,Stefano,Stefano Eranio,7
Evra,Patrice,Patrice Evra,7
Fairclough,Chris,Chris Fairclough,7
Flemming,Zian,Zian Flemming,7
Glass,Stephen,Stephen Glass,7
Gomes da Silva,João Victor,João Gomes,7
Grønkjaer,Jesper,Jesper Grønkjaer,7
Gutiérrez,Jonás,Jonás Gutiérrez,7
Hopkin,David,David Hopkin,7
Kalinic,Nikola,Nikola Kalinic,7
Keïta,Naby,Naby Keïta,7
Kightly,Michael,Michael Kightly,7
Kinkladze,Georgi,Georgi Kinkladze,7
Knight,Zat,Zat Knight,7
Kuqi,Shefki,Shefki Kuqi,7
Lawrence,Liam,Liam Lawrence,7
Lazaridis,Stan,Stan Lazaridis,7
Lewis-Potter,Keane,Keane Lewis-Potter,7
Limpar,Anders,Anders Limpar,7
Livermore,Jake,Jake Livermore,7
Lovren,Dejan,Dejan Lovren,7
Malen,Donyell,Donyell Malen,7
Mbokani,Dieumerci,Dieumerci Mbokani,7
McAteer,Jason,Jason McAteer,7
McKenzie,Leon,Leon McKenzie,7
Mina,Yerry,Yerry Mina,7
Minteh,Yankuba,Yankuba Minteh,7
Monreal Eraso,Ignacio,Nacho Monreal,7
Muñoz,Daniel,Daniel Muñoz,7
Mustafi,Shkodran,Shkodran Mustafi,7
Mutch,Jordon,Jordon Mutch,7
Mølby,Jan,Jan Mølby,7
Ndidi,Wilfred,Wilfred Ndidi,7
Newton,Eddie,Eddie Newton,7
Nonda,Shabani,Shabani Nonda,7
Okaka,Stefano,Stefano Okaka,7
Reid,Andy,Andy Reid,7
Reuser,Martijn,Martijn Reuser,7
Reyna,Claudio,Claudio Reyna,7
Richards,Dean,Dean Richards,7
Richardson,Kevin,Kevin Richardson,7
Romeu,Oriol,Oriol Romeu,7
Rudi,Petter,Petter Rudi,7
Rutter,Georginio,Georginio Rutter,7
Saliba,William,William Saliba,7
Sheridan,John,John Sheridan,7
Short,Craig,Craig Short,7
Silveira de Carvalho,Ricardo Alberto,Ricardo Carvalho,7
Soldado,Roberto,Roberto Soldado,7
Song,Alexandre,Alexandre Song,7
Stanic,Mario,Mario Stanic,7
Stefanovic,Dejan,Dejan Stefanovic,7
Strachan,Gordon,Gordon Strachan,7
Taarabt,Adel,Adel Taarabt,7
Tchoyi,Somen,Somen Tchoyi,7
Telfer,Paul,Paul Telfer,7
Todorov,Svetoslav,Svetoslav Todorov,7
Trindade Meireles,Raul José,Raul Meireles,7
Utaka,John,John Utaka,7
van de Ven,Micky,Micky van de Ven,7
van Hooijdonk,Pierre,Pierre van Hooijdonk,7
Vaughan,James,James Vaughan,7
Vega,Ramon,Ramon Vega,7
Wheater,David,David Wheater,7
Whitehead,Dean,Dean Whitehead,7
Woltemade,Nick,Nick Woltemade,7
Acuna,Clarence,Clarence Acuna,6
Alcaraz,Charly,Charly Alcaraz,6
Allbäck,Marcus,Marcus Allbäck,6
Alves da Silva,Eduardo,Eduardo da Silva,6
Archer,Cameron,Cameron Archer,6
Armstrong,Adam,Adam Armstrong,6
Aurier,Sèrge,Sèrge Aurier,6
Babbel,Markus,Markus Babbel,6
Bacuna,Leandro,Leandro Bacuna,6
Barry,Thierno,Thierno Barry,6
Bassong,Sebastien,Sebastien Bassong,6
Bednár,Roman,Roman Bednár,6
Bernard,Olivier,Olivier Bernard,6
Bezerra Maciel Júnior,José Paulo,Paulinho,6
Bisan Etame-Mayer,Laureano,Lauren,6
Boere,Jeroen,Jeroen Boere,6
Bogle,Jayden,Jayden Bogle,6
Bothroyd,Jay,Jay Bothroyd,6
Brereton,Ben,Ben Brereton,6
Brownhill,Josh,Josh Brownhill,6
Bruun Larsen,Jacob,Jacob Bruun Larsen,6
Burn,Dan,Dan Burn,6
Calderwood,Colin,Colin Calderwood,6
Caldwell,Gary,Gary Caldwell,6
Cantwell,Todd,Todd Cantwell,6
Cascarino,Tony,Tony Cascarino,6
Castagne,Timothy,Timothy Castagne,6
Castro Otto,Jonathan,Jonny,6
Cattermole,Lee,Lee Cattermole,6
Chimbonda,Pascal,Pascal Chimbonda,6
Clemence,Stephen,Stephen Clemence,6
Clucas,Sam,Sam Clucas,6
Cohen,Tamir,Tamir Cohen,6
Coleman,Chris,Chris Coleman,6
Collins,Wayne,Wayne Collins,6
Collins,Nathan,Nathan Collins,6
Cox,Neil,Neil Cox,6
Curle,Keith,Keith Curle,6
da Silva Mendes,Pedro Miguel,Pedro Mendes,6
Dalla Bona,Samuele,Samuele Dalla Bona,6
Davies,Tom,Tom Davies,6
de Assis Silva,João Alves,Jô,6
Depoitre,Laurent,Laurent Depoitre,6
Desailly,Marcel,Marcel Desailly,6
Diaby,Moussa,Moussa Diaby,6
Digne,Lucas,Lucas Digne,6
Dobie,Scott,Scott Dobie,6
Doherty,Gary,Gary Doherty,6
Dugarry,Christophe,Christophe Dugarry,6
El Mohamady Abdel Fattah,Ahmed Eissa,Ahmed El Mohamady,6
Enciso,Julio,Julio Enciso,6
Freitas Gouveia de Carvalho,Fábio Leandro,Fábio Carvalho,6
Gallagher,Paul,Paul Gallagher,6
George,Finidi,Finidi George,6
Gestede,Rudy,Rudy Gestede,6
Goldbæk,Bjarne,Bjarne Goldbæk,6
Gómez,Diego,Diego Gómez,6
Guenchev,Bontcho,Bontcho Guenchev,6
Henry,Nick,Nick Henry,6
Hodges,Glyn,Glyn Hodges,6
Hooper,Gary,Gary Hooper,6
Hughes,Will,Will Hughes,6
Jedinak,Mile,Mile Jedinak,6
Johnson,Bradley,Bradley Johnson,6
Johnson,Gavin,Gavin Johnson,6
Jones,Ryan,Ryan Jones,6
Kagawa,Shinji,Shinji Kagawa,6
Kapo,Olivier,Olivier Kapo,6
Kluivert,Patrick,Patrick Kluivert,6
Koumas,Jason,Jason Koumas,6
Ledley,Joe,Joe Ledley,6
Madar,Mickaël,Mickaël Madar,6
Marsden,Chris,Chris Marsden,6
Mason,Paul,Paul Mason,6
Mathie,Alex,Alex Mathie,6
Matic,Nemanja,Nemanja Matic,6
Mawson,Alfie,Alfie Mawson,6
McAtee,James,James McAtee,6
McGinlay,John,John McGinlay,6
McGrath,Paul,Paul McGrath,6
Melchiot,Mario,Mario Melchiot,6
Mertesacker,Per,Per Mertesacker,6
Miller,Kenny,Kenny Miller,6
Mills,Daniel,Danny Mills,6
Minamino,Takumi,Takumi Minamino,6
Mings,Tyrone,Tyrone Mings,6
Molenaar,Robert,Robert Molenaar,6
Mutch,Andy,Andy Mutch,6
Mutu,Adrian,Adrian Mutu,6
N'Doye,Dame,Dame N'Doye,6
Naysmith,Gary,Gary Naysmith,6
Ndombélé,Tanguy,Tanguy Ndombélé,6
Neill,Lucas,Lucas Neill,6
Neves Abreu Cavaleiro,Ivan Ricardo,Ivan Cavaleiro,6
Nkunku,Christopher,Christopher Nkunku,6
Nmecha,Lukas,Lukas Nmecha,6
O'Reilly,Nico,Nico O'Reilly,6
Olsson,Martin,Martin Olsson,6
Pandiani,Walter,Walter Pandiani,6
Pereira Neves,Denilson,Denilson,6
Power,Lee,Lee Power,6
Reid,Winston,Winston Reid,6
Robinson,John,John Robinson,6
Robinson,Callum,Callum Robinson,6
Rodríguez,James,James Rodríguez,6
Rogers,Paul,Paul Rogers,6
Rufus,Richard,Richard Rufus,6
Sanchez,Lawrie,Lawrie Sanchez,6
Sava,Facundo,Facundo Sava,6
Senderos,Philippe,Philippe Senderos,6
Senesi,Marcos,Marcos Senesi,6
Sharp,Billy,Billy Sharp,6
Smith,Tommy,Tommy Smith,6
Stamp,Phil,Phil Stamp,6
Summerbee,Nicky,Nicky Summerbee,6
Surman,Andrew,Andrew Surman,6
Taylor-Fletcher,Gary,Gary Taylor-Fletcher,6
Thomas,Michael,Michael Thomas,6
Thomsen,Claus,Claus Thomsen,6
Trippier,Kieran,Kieran Trippier,6
Vertonghen,Jan,Jan Vertonghen,6
Ward,Stephen,Stephen Ward,6
Watson,Dave,Dave Watson,6
Webster,Adam,Adam Webster,6
White,Ben,Ben White,6
Williams,Ashley,Ashley Williams,6
Woodgate,Jonathan,Jonathan Woodgate,6
Yoshida,Maya,Maya Yoshida,6
Young,Eric,Eric Young,6
Ziyech,Hakim,Hakim Ziyech,6
Aaronson,Brenden,Brenden Aaronson,5
Abou,Samassi,Samassi Abou,5
Aina,Ola,Ola Aina,5
Allen,Malcolm,Malcolm Allen,5
Amdouni,Zeki,Zeki Amdouni,5
Arfield,Scott,Scott Arfield,5
Aribo,Joe,Joe Aribo,5
Ayari,Yasin,Yasin Ayari,5
Babayaro,Celestine,Celestine Babayaro,5
Batty,David,David Batty,5
Belhadj,Nadir,Nadir Belhadj,5
Bellegarde,Jean-Ricner,Jean-Ricner Bellegarde,5
Belozoglu,Emre,Emre,5
Bissouma,Yves,Yves Bissouma,5
Branthwaite,Jarrad,Jarrad Branthwaite,5
Brobbey,Brian,Brian Brobbey,5
Caicedo,Felipe,Felipe Caicedo,5
Caldeira Duarte,Bernard Anício,Bernard,5
Camarasa,Víctor,Víctor Camarasa,5
Cambiasso,Esteban,Esteban Cambiasso,5
Carr,Franz,Franz Carr,5
Cathcart,Craig,Craig Cathcart,5
Cavaco Cancelo,João Pedro,João Cancelo,5
Choupo-Moting,Eric,Eric Choupo-Moting,5
Clapham,James,Jamie Clapham,5
Connolly,Aaron,Aaron Connolly,5
Cork,Alan,Alan Cork,5
Curcic,Sasa,Sasa Curcic,5
Dacourt,Olivier,Olivier Dacourt,5
Damsgaard,Mikkel,Mikkel Damsgaard,5
Darby,Julian,Julian Darby,5
Davies,Mark,Mark Davies,5
de Abreu Oliveira,Anderson Luis,Anderson,5
De Freitas,Fabian,Fabian De Freitas,5
de Souza,Anderson Luís,Deco,5
